state_name,species_code,common_name,scientific_name,percent_pop_breeding,percent_pop_postbreeding_migration,percent_pop_nonbreeding,percent_pop_prebreeding_migration,max_week_season,max_week,max_week_percent_pop,state_rank_breeding,breeding_habitat_primary,breeding_habitat_secondary
Washington,clagre,Clark's Grebe,Aechmophorus clarkii,0.62,0.2,0.01,0.11,breeding,05-17,0.8416,11 of 15,Wetlands:  Freshwater Marsh,NA
Washington,clanut,Clark's Nutcracker,Nucifraga columbiana,2.44,2.44,2.44,2.44,resident,year round resident,NA,9 of 12,Forests:  Temperate Western,NA
Washington,clcspa,Clay-colored Sparrow,Spizella pallida,0.01,0,0,0,breeding,07-05,0.01146,9 of 9,Grasslands:  Temperate,Open Country:  Habitat Mosaic
Washington,cliswa,Cliff Swallow,Petrochelidon pyrrhonota,1.62,0.38,0,0.92,prebreeding_migration,04-26,2.145,20 of 42,Open Country Aerial:  Habitat Mosaic,NA
Washington,comgol,Common Goldeneye,Bucephala clangula,0.01,0.47,1.23,0.43,postbreeding_migration,12-13,1.843,8 of 8,Wetlands:  Forested,Wetlands:  Lakes and Rivers
Washington,comloo,Common Loon,Gavia immer,0.05,0.78,2.55,0.5,unidentified,01-25,2.907,11 of 13,Wetlands:  Lakes and Rivers,NA
Washington,commer,Common Merganser,Mergus merganser,0.31,0.83,0.89,0.47,postbreeding_migration,11-01,1.434,10 of 26,Wetlands:  Forested,Wetlands:  Lakes and Rivers
Washington,comnig,Common Nighthawk,Chordeiles minor,2.45,0.86,0,1.23,breeding,06-28,2.756,13 of 38,Open Country Aerial:  Habitat Mosaic,NA
Washington,compoo,Common Poorwill,Phalaenoptilus nuttallii,2.09,0.55,0,0.66,breeding,07-05,2.794,11 of 17,Aridlands:  Desert Scrub,Aridlands:  Sagebrush
Washington,comrav,Common Raven,Corvus corax,0.42,0.42,0.42,0.42,resident,year round resident,NA,12 of 29,Open Country:  Habitat Mosaic,NA
Washington,comred,Common Redpoll,Acanthis flammea,0,0.03,0.13,0.02,nonbreeding,01-04,0.2419,NA,Tundra:  Arctic,Forests:  Boreal
Washington,comter,Common Tern,Sterna hirundo,0,0,0,0.04,prebreeding_migration,05-10,0.2435,NA,Coasts:  Beach and Estuary,Wetlands:  Lakes and Rivers
Washington,comyel,Common Yellowthroat,Geothlypis trichas,0.62,0.65,0,0.8,prebreeding_migration,04-19,2.235,28 of 49,Open Country:  Habitat Mosaic,Wetlands:  Freshwater Marsh
Washington,coohaw,Cooper's Hawk,Accipiter cooperii,1.77,2.22,1.58,1.4,postbreeding_migration,09-06,3.533,10 of 49,Forests:  Temperate Generalist,NA
Washington,cowscj1,California Scrub-Jay,Aphelocoma californica,1.01,1.01,1.01,1.01,resident,year round resident,NA,3 of 4,Forests:  Temperate Western,Aridlands:  Chaparral
